,source_genesymbol,target_genesymbol,references
6824,ADCYAP1,VIPR2,Baccin2019:11931347;Baccin2019:11978642;Baccin2019:16930633;Baccin2019:8146174;Baccin2019:9928018;CellTalkDB:9928018;Cellinker:11931347;Cellinker:11978642;Cellinker:12488235;Cellinker:16930633;Cellinker:8146174;Cellinker:9928018;Guide2Pharma:11931347;Guide2Pharma:11978642;Guide2Pharma:16930633;Guide2Pharma:9928018;HPRD:8146174;LRdb:11931347;LRdb:11978642;LRdb:16930633;LRdb:8146174;LRdb:9928018;connectomeDB2020:11931347;connectomeDB2020:11978642;connectomeDB2020:16930633;connectomeDB2020:8146174;connectomeDB2020:9928018;scConnect:11931347;scConnect:11978642;scConnect:16930633;scConnect:9928018
6825,VIP,VIPR2,Baccin2019:10570056;Baccin2019:10801840;Baccin2019:11931347;Baccin2019:12220741;Baccin2019:16930633;Baccin2019:8146174;Baccin2019:9152366;Baccin2019:9437714;Baccin2019:9454823;Baccin2019:9726637;Baccin2019:9928018;CellTalkDB:16930633;Cellinker:10570056;Cellinker:10801840;Cellinker:11931347;Cellinker:12220741;Cellinker:12488235;Cellinker:16930633;Cellinker:8146174;Cellinker:9152366;Cellinker:9437714;Cellinker:9454823;Cellinker:9726637;Cellinker:9928018;Guide2Pharma:10570056;Guide2Pharma:10801840;Guide2Pharma:11931347;Guide2Pharma:16930633;Guide2Pharma:9152366;Guide2Pharma:9437714;Guide2Pharma:9454823;Guide2Pharma:9726637;Guide2Pharma:9928018;HPMR:12220741;HPRD:10801840;HPRD:8146174;HPRD:9454823;LRdb:10570056;LRdb:10801840;LRdb:11931347;LRdb:12220741;LRdb:16930633;LRdb:8146174;LRdb:9152366;LRdb:9437714;LRdb:9454823;LRdb:9726637;LRdb:9928018;connectomeDB2020:10570056;connectomeDB2020:10801840;connectomeDB2020:11931347;connectomeDB2020:12220741;connectomeDB2020:16930633;connectomeDB2020:8146174;connectomeDB2020:9152366;connectomeDB2020:9437714;connectomeDB2020:9454823;connectomeDB2020:9726637;connectomeDB2020:9928018;scConnect:10570056;scConnect:10801840;scConnect:11931347;scConnect:16930633;scConnect:9152366;scConnect:9437714;scConnect:9454823;scConnect:9726637;scConnect:9928018
6826,OXT,AVPR1A,Baccin2019:10519430;Baccin2019:12660315;Baccin2019:8106369;Baccin2019:9264324;Baccin2019:9322919;Baccin2019:9334232;Baccin2019:9459574;Baccin2019:9884074;CellTalkDB:8106369;Cellinker:10519430;Cellinker:12660315;Cellinker:8106369;Cellinker:9264324;Cellinker:9322919;Cellinker:9334232;Cellinker:9459574;Cellinker:9884074;Guide2Pharma:10519430;Guide2Pharma:12660315;Guide2Pharma:8106369;Guide2Pharma:9264324;Guide2Pharma:9322919;Guide2Pharma:9334232;Guide2Pharma:9459574;Guide2Pharma:9884074;LRdb:10519430;LRdb:12660315;LRdb:8106369;LRdb:9264324;LRdb:9322919;LRdb:9334232;LRdb:9459574;LRdb:9884074;connectomeDB2020:10519430;connectomeDB2020:12660315;connectomeDB2020:8106369;connectomeDB2020:9264324;connectomeDB2020:9322919;connectomeDB2020:9334232;connectomeDB2020:9459574;connectomeDB2020:9884074;scConnect:10519430;scConnect:12660315;scConnect:8106369;scConnect:9264324;scConnect:9322919;scConnect:9334232;scConnect:9459574;scConnect:9884074
6827,AVP,AVPR1A,Baccin2019:10519430;Baccin2019:10780976;Baccin2019:10866830;Baccin2019:12446593;Baccin2019:15084136;Baccin2019:1560825;Baccin2019:8106369;Baccin2019:9264324;Baccin2019:9322919;Baccin2019:9334232;Baccin2019:9459574;Baccin2019:9864265;Baccin2019:9884074;CellTalkDB:1560825;Cellinker:10519430;Cellinker:10780976;Cellinker:10866830;Cellinker:12446593;Cellinker:15084136;Cellinker:1560825;Cellinker:8106369;Cellinker:9264324;Cellinker:9322919;Cellinker:9334232;Cellinker:9459574;Cellinker:9864265;Cellinker:9884074;Guide2Pharma:10519430;Guide2Pharma:10780976;Guide2Pharma:10866830;Guide2Pharma:12446593;Guide2Pharma:15084136;Guide2Pharma:8106369;Guide2Pharma:9264324;Guide2Pharma:9322919;Guide2Pharma:9334232;Guide2Pharma:9459574;Guide2Pharma:9864265;Guide2Pharma:9884074;HPMR:1560825;HPRD:8106369;LRdb:10519430;LRdb:10780976;LRdb:10866830;LRdb:12446593;LRdb:15084136;LRdb:1560825;LRdb:8106369;LRdb:9264324;LRdb:9322919;LRdb:9334232;LRdb:9459574;LRdb:9864265;LRdb:9884074;connectomeDB2020:10519430;connectomeDB2020:10780976;connectomeDB2020:10866830;connectomeDB2020:12446593;connectomeDB2020:15084136;connectomeDB2020:1560825;connectomeDB2020:8106369;connectomeDB2020:9264324;connectomeDB2020:9322919;connectomeDB2020:9334232;connectomeDB2020:9459574;connectomeDB2020:9864265;connectomeDB2020:9884074;scConnect:10519430;scConnect:10780976;scConnect:10866830;scConnect:12446593;scConnect:15084136;scConnect:8106369;scConnect:9264324;scConnect:9322919;scConnect:9334232;scConnect:9459574;scConnect:9864265;scConnect:9884074
6828,OXT,AVPR1B,Baccin2019:16158071;Baccin2019:9264324;Baccin2019:9322919;Baccin2019:9459574;Baccin2019:9884074;CellTalkDB:16158071;Guide2Pharma:16158071;Guide2Pharma:9264324;Guide2Pharma:9322919;Guide2Pharma:9459574;Guide2Pharma:9884074;LRdb:16158071;LRdb:9264324;LRdb:9322919;LRdb:9459574;LRdb:9884074;connectomeDB2020:16158071;connectomeDB2020:9264324;connectomeDB2020:9322919;connectomeDB2020:9459574;connectomeDB2020:9884074;scConnect:16158071;scConnect:9264324;scConnect:9322919;scConnect:9459574;scConnect:9884074
6829,AVP,AVPR1B,Baccin2019:10519430;Baccin2019:10780976;Baccin2019:12446593;Baccin2019:15084136;Baccin2019:16158071;Baccin2019:7929452;Baccin2019:9264324;Baccin2019:9322919;Baccin2019:9459574;Baccin2019:9864265;Baccin2019:9884074;CellTalkDB:7929452;Cellinker:10519430;Cellinker:10780976;Cellinker:12446593;Cellinker:15084136;Cellinker:16158071;Cellinker:7929452;Cellinker:9264324;Cellinker:9322919;Cellinker:9459574;Cellinker:9864265;Cellinker:9884074;Guide2Pharma:10519430;Guide2Pharma:10780976;Guide2Pharma:12446593;Guide2Pharma:15084136;Guide2Pharma:16158071;Guide2Pharma:9264324;Guide2Pharma:9322919;Guide2Pharma:9459574;Guide2Pharma:9864265;Guide2Pharma:9884074;HPRD:7929452;LRdb:10519430;LRdb:10780976;LRdb:12446593;LRdb:15084136;LRdb:16158071;LRdb:7929452;LRdb:9264324;LRdb:9322919;LRdb:9459574;LRdb:9864265;LRdb:9884074;connectomeDB2020:10519430;connectomeDB2020:10780976;connectomeDB2020:12446593;connectomeDB2020:15084136;connectomeDB2020:16158071;connectomeDB2020:7929452;connectomeDB2020:9264324;connectomeDB2020:9322919;connectomeDB2020:9459574;connectomeDB2020:9864265;connectomeDB2020:9884074;scConnect:10519430;scConnect:10780976;scConnect:12446593;scConnect:15084136;scConnect:16158071;scConnect:9264324;scConnect:9322919;scConnect:9459574;scConnect:9864265;scConnect:9884074
6830,OXT,AVPR2,Baccin2019:12660315;Baccin2019:7774575;Baccin2019:9264324;Baccin2019:9322919;Baccin2019:9459574;Baccin2019:9884074;CellTalkDB:9884074;Guide2Pharma:12660315;Guide2Pharma:7774575;Guide2Pharma:9264324;Guide2Pharma:9322919;Guide2Pharma:9459574;Guide2Pharma:9884074;LRdb:12660315;LRdb:7774575;LRdb:9264324;LRdb:9322919;LRdb:9459574;LRdb:9884074;connectomeDB2020:12660315;connectomeDB2020:7774575;connectomeDB2020:9264324;connectomeDB2020:9322919;connectomeDB2020:9459574;connectomeDB2020:9884074;scConnect:12660315;scConnect:7774575;scConnect:9264324;scConnect:9322919;scConnect:9459574;scConnect:9884074
6831,AVP,AVPR2,Baccin2019:10519430;Baccin2019:10780976;Baccin2019:11012895;Baccin2019:11857925;Baccin2019:12446593;Baccin2019:15084136;Baccin2019:7774575;Baccin2019:9264324;Baccin2019:9322919;Baccin2019:9459574;Baccin2019:9864265;Baccin2019:9884074;CellTalkDB:9884074;Cellinker:10519430;Cellinker:10780976;Cellinker:11012895;Cellinker:11857925;Cellinker:12446593;Cellinker:15084136;Cellinker:7774575;Cellinker:9264324;Cellinker:9322919;Cellinker:9459574;Cellinker:9864265;Cellinker:9884074;Guide2Pharma:10519430;Guide2Pharma:10780976;Guide2Pharma:11012895;Guide2Pharma:12446593;Guide2Pharma:15084136;Guide2Pharma:7774575;Guide2Pharma:9264324;Guide2Pharma:9322919;Guide2Pharma:9459574;Guide2Pharma:9864265;Guide2Pharma:9884074;HPRD:11857925;LRdb:10519430;LRdb:10780976;LRdb:11012895;LRdb:11857925;LRdb:12446593;LRdb:15084136;LRdb:7774575;LRdb:9264324;LRdb:9322919;LRdb:9459574;LRdb:9864265;LRdb:9884074;SIGNOR:1560825;connectomeDB2020:10519430;connectomeDB2020:10780976;connectomeDB2020:11012895;connectomeDB2020:11857925;connectomeDB2020:12446593;connectomeDB2020:15084136;connectomeDB2020:7774575;connectomeDB2020:9264324;connectomeDB2020:9322919;connectomeDB2020:9459574;connectomeDB2020:9864265;connectomeDB2020:9884074;scConnect:10519430;scConnect:10780976;scConnect:11012895;scConnect:12446593;scConnect:15084136;scConnect:7774575;scConnect:9264324;scConnect:9322919;scConnect:9459574;scConnect:9864265;scConnect:9884074
6832,XCL1,XCR1,Baccin2019:11446740;Baccin2019:9632725;Cellinker:11446740;Cellinker:19556286;Cellinker:9632725;Guide2Pharma:25497737;HPMR:9632725;HPRD:11446740;HPRD:9632725;ICELLNET:22633458;InnateDB:9632725;LRdb:10699158;SIGNOR:10518929;connectomeDB2020:11446740;connectomeDB2020:9632725;scConnect:25497737
6833,XCL2,XCR1,CellTalkDB:10699158;Cellinker:19556286;Cellinker:9632725;Guide2Pharma:25497737;HPRD:9632725;ICELLNET:22633458;LRdb:10699158;connectomeDB2020:9632725;scConnect:25497737
6834,NPY,NPY2R,Baccin2019:12007534;Baccin2019:7559383;Baccin2019:7592910;Baccin2019:8632753;Baccin2019:9001438;Baccin2019:9549761;CellTalkDB:9001438;Cellinker:12007534;Cellinker:7559383;Cellinker:7592910;Cellinker:8632753;Cellinker:9001438;Cellinker:9549761;Guide2Pharma:7592910;Guide2Pharma:8632753;HPMR:9549761;HPRD:12007534;HPRD:7559383;HPRD:9001438;LRdb:12007534;LRdb:7559383;LRdb:7592910;LRdb:8632753;LRdb:9001438;LRdb:9549761;SIGNOR:9549761;connectomeDB2020:12007534;connectomeDB2020:7559383;connectomeDB2020:7592910;connectomeDB2020:8632753;connectomeDB2020:9001438;connectomeDB2020:9549761;scConnect:7592910;scConnect:8632753
6835,PYY,NPY2R,Baccin2019:11408607;Baccin2019:7592910;Baccin2019:8632753;CellTalkDB:8632753;Cellinker:11408607;Cellinker:7592910;Cellinker:8632753;Guide2Pharma:7592910;Guide2Pharma:8632753;HPRD:11408607;LRdb:11408607;LRdb:7592910;LRdb:8632753;connectomeDB2020:11408607;connectomeDB2020:7592910;connectomeDB2020:8632753;scConnect:7592910;scConnect:8632753
6836,NPY,NPY4R,CellTalkDB:7592911;Cellinker:7493937;Cellinker:7592911;Guide2Pharma:7493937;HPMR:7592911;HPRD:7493937;LRdb:749;LRdb:7592911;SIGNOR:7592911;connectomeDB2020:7493937;connectomeDB2020:7592911;scConnect:7493937
6837,PPY,NPY4R,CellTalkDB:18767100;Cellinker:16807358;Cellinker:7493937;Cellinker:7592911;Cellinker:8643460;Guide2Pharma:16807358;Guide2Pharma:7493937;Guide2Pharma:7592911;Guide2Pharma:8643460;HPRD:7493937;LRdb:16807358;LRdb:7493937;LRdb:7592911;LRdb:8643460;SIGNOR:7592911;connectomeDB2020:16807358;connectomeDB2020:7493937;connectomeDB2020:7592911;connectomeDB2020:8643460;scConnect:16807358;scConnect:7493937;scConnect:7592911;scConnect:8643460
6838,PYY,NPY4R,CellTalkDB:7592911;Cellinker:7493937;Cellinker:7592911;Guide2Pharma:7493937;HPRD:7493937;LRdb:749;LRdb:7592911;SIGNOR:7592911;connectomeDB2020:7493937;connectomeDB2020:7592911;scConnect:7493937
6839,NPY,NPY5R,CellTalkDB:8824284;Cellinker:12007534;Cellinker:12417094;Cellinker:8824284;Guide2Pharma:8824284;HPMR:12417094;HPRD:12007534;LRdb:12007534;LRdb:12417094;LRdb:8824284;SIGNOR:11825645;connectomeDB2020:12007534;connectomeDB2020:12417094;connectomeDB2020:8824284;scConnect:8824284
6840,PPY,NPY5R,Baccin2019:8824284;CellTalkDB:8824284;Cellinker:8824284;Guide2Pharma:8824284;LRdb:8824284;connectomeDB2020:8824284;scConnect:8824284
6985,FYN,GRIN2A,CA1:11677266;CA1:9670010;CA1:9892651;HPRD:10458595;HPRD:12932824;PhosphoSite:19834457;ProtMapper:10195142;ProtMapper:19834457;SIGNOR:10195142;SIGNOR:19834457;SPIKE_LC:16713569;iPTMnet:19834457
7010,L1CAM,EZR,BioGRID:12070130;BioGRID:22846990;CA1:12070130;HPRD:12070130
7012,FYN,PTK2,Adhesome:10085136;Adhesome:11278857;Adhesome:12558988;Adhesome:7505391;BioGRID:11278857;HPRD:11278857;Lit-BM-17:11278857;Lit-BM-17:12558988;ProtMapper:10753828;ProtMapper:11369622;ProtMapper:12590707;ProtMapper:15494732;ProtMapper:15494733;ProtMapper:15494734;ProtMapper:15728464;ProtMapper:20151426;SPIKE_LC:16713569;iPTMnet:16293639
7114,PTPN11,PIK3CA,Adhesome:10386953;Adhesome:7522233;CA1:7522233
7211,PRSS1,F2RL1,CA1:9349532;SIGNOR:10978167
7234,WNT6,FZD1,CA1:12857724;CA1:8717036
7282,FYN,TUBA1A,CA1:7678277
7429,RELN,ITGB1,CA1:10725376;CA1:10939329;CellTalkDB:10939329;LRdb:10939329;connectomeDB2020:10939329
7437,FYN,GRIA1,CA1:11677266
7476,FYN,PLCG1,Adhesome:10586033;Adhesome:7682059;Adhesome:8395016;CA1:7682059;HPRD:10586033;SPIKE_LC:16713569
7567,GDF15,ERBB2,CA1:6328316
7602,VTN,ITGB1,CA1:7716514;CellTalkDB:32196115
7605,PENK,OPRK1,CA1:15082510;CellTalkDB:32196115
7606,PENK,OPRL1,CA1:15082510
7640,TP53,ULK1,ARN:21475306
7641,TP53,ULK2,ARN:21475306
7701,TNF,HMOX1,NRF2ome:18202225
7702,TNF,NFE2L2,NRF2ome:18202225
7714,VEGFA,NFE2L2,NRF2ome:22033923
7922,IFNG,PSMB8,Macrophage:8811196
7923,IFNG,PSMB9,Macrophage:8811196
7930,CALR,PDIA3,HPRD:10436013;Lit-BM-17:10436013;Lit-BM-17:12052826;Macrophage:10618487;Macrophage:9597133;SPIKE_LC:10436013;SPIKE_LC:16189514
7936,CALR,TAP1,Macrophage:10618487;SPIKE_LC:17145710
7940,CALR,TAP2,Macrophage:10618487
7955,HLA-DRB1,LGMN,Macrophage:14966190
7956,HLA-DMA,LGMN,Macrophage:14966190
7957,HLA-DRB3,LGMN,Macrophage:14966190
7958,HLA-DPA1,LGMN,Macrophage:14966190
7959,HLA-DQA1,LGMN,Macrophage:14966190
7960,HLA-DRA,LGMN,Macrophage:14966190
7961,HLA-DQB1,LGMN,Macrophage:14966190
7962,HLA-DOA,LGMN,Macrophage:14966190
7963,HLA-DQB2,LGMN,Macrophage:14966190
7964,HLA-DRB5,LGMN,Macrophage:14966190
7965,HLA-DRB4,LGMN,Macrophage:14966190
7966,HLA-DQA2,LGMN,Macrophage:14966190
7967,HLA-DMB,LGMN,Macrophage:14966190
7968,HLA-DOB,LGMN,Macrophage:14966190
7969,HLA-DPB1,LGMN,Macrophage:14966190
7971,HLA-DRB1,CTSF,Macrophage:14966190
7972,HLA-DMA,CTSF,Macrophage:14966190
7973,HLA-DRB3,CTSF,Macrophage:14966190
7974,HLA-DPA1,CTSF,Macrophage:14966190
7975,HLA-DQA1,CTSF,Macrophage:14966190
7976,HLA-DRA,CTSF,Macrophage:14966190
7977,HLA-DQB1,CTSF,Macrophage:14966190
7978,HLA-DOA,CTSF,Macrophage:14966190
7979,HLA-DQB2,CTSF,Macrophage:14966190
7980,HLA-DRB5,CTSF,Macrophage:14966190
7981,HLA-DRB4,CTSF,Macrophage:14966190
7982,HLA-DQA2,CTSF,Macrophage:14966190
7983,HLA-DMB,CTSF,Macrophage:14966190
7984,HLA-DOB,CTSF,Macrophage:14966190
7985,HLA-DPB1,CTSF,Macrophage:14966190
7986,HLA-DRB1,CTSS,Macrophage:14966190
7987,HLA-DMA,CTSS,Macrophage:14966190
7988,HLA-DRB3,CTSS,Macrophage:14966190
7989,HLA-DPA1,CTSS,Macrophage:14966190
7990,HLA-DQA1,CTSS,Macrophage:14966190
7991,HLA-DRA,CTSS,Macrophage:14966190
7992,HLA-DQB1,CTSS,Macrophage:14966190
7993,HLA-DOA,CTSS,Macrophage:14966190
7994,HLA-DQB2,CTSS,Macrophage:14966190
7995,HLA-DRB5,CTSS,Macrophage:14966190
7996,HLA-DRB4,CTSS,Macrophage:14966190
7997,HLA-DQA2,CTSS,Macrophage:14966190
7998,HLA-DMB,CTSS,Macrophage:14966190
7999,HLA-DOB,CTSS,Macrophage:14966190
8000,HLA-DPB1,CTSS,Macrophage:14966190
8001,HLA-DRB1,CTSL,Macrophage:14966190
8002,HLA-DMA,CTSL,Macrophage:14966190
8003,HLA-DRB3,CTSL,Macrophage:14966190
8004,HLA-DPA1,CTSL,Macrophage:14966190
8005,HLA-DQA1,CTSL,Macrophage:14966190
8006,HLA-DRA,CTSL,Macrophage:14966190
8007,HLA-DQB1,CTSL,Macrophage:14966190
8008,HLA-DOA,CTSL,Macrophage:14966190
8009,HLA-DQB2,CTSL,Macrophage:14966190
8010,HLA-DRB5,CTSL,Macrophage:14966190
8011,HLA-DRB4,CTSL,Macrophage:14966190
8012,HLA-DQA2,CTSL,Macrophage:14966190
8013,HLA-DMB,CTSL,Macrophage:14966190
8014,HLA-DOB,CTSL,Macrophage:14966190
8015,HLA-DPB1,CTSL,Macrophage:14966190
8016,HLA-DRB1,CTSV,Macrophage:14966190
8017,HLA-DMA,CTSV,Macrophage:14966190
8018,HLA-DRB3,CTSV,Macrophage:14966190
8019,HLA-DPA1,CTSV,Macrophage:14966190
8020,HLA-DQA1,CTSV,Macrophage:14966190
8021,HLA-DRA,CTSV,Macrophage:14966190
8022,HLA-DQB1,CTSV,Macrophage:14966190
8023,HLA-DOA,CTSV,Macrophage:14966190
8024,HLA-DQB2,CTSV,Macrophage:14966190
8025,HLA-DRB5,CTSV,Macrophage:14966190
8026,HLA-DRB4,CTSV,Macrophage:14966190
8027,HLA-DQA2,CTSV,Macrophage:14966190
8028,HLA-DMB,CTSV,Macrophage:14966190
8029,HLA-DOB,CTSV,Macrophage:14966190
8030,HLA-DPB1,CTSV,Macrophage:14966190
8046,TNFRSF1A,CASP8,InnateDB:15357952;Macrophage:12887920;Macrophage:15725726;Macrophage:8875942;NetPath:21741934
8066,IFNA17,IFNAR1,CellTalkDB:21856167;LRdb:21856167;Macrophage:7623815;Ramilowski2015:21856167;connectomeDB2020:21856167;talklr:21856167
8067,IFNA17,IFNAR2,CellTalkDB:21856167;LRdb:21856167;Macrophage:7623815;Ramilowski2015:21856167;connectomeDB2020:21856167;talklr:21856167
8069,TYK2,JAK1,Cellinker:14647450;HPRD:7589562;HPRD:8702790;Macrophage:7504784
8109,AFDN,EPHA7,CellTalkDB:9707552;Cellinker:11544254;Cellinker:9707552;DOMINO:9707552;HPRD:9707552;LRdb:9707552;SPIKE_LC:9707552;connectomeDB2020:9707552
8110,AFDN,EPHB2,CellTalkDB:9707552;Cellinker:9707552;DOMINO:9707552;HPRD:9707552;LRdb:9707552;SPIKE_LC:9707552;connectomeDB2020:9707552
8111,AFDN,EPHB6,CellTalkDB:9707552;Cellinker:9707552;DOMINO:9707552;HPRD:9707552;LRdb:9707552;SPIKE_LC:9707552;connectomeDB2020:9707552
8112,AFDN,NECTIN1,CellTalkDB:10225955;Cellinker:10225955;Cellinker:10617658;Cellinker:11544254;DOMINO:10225955;DOMINO:15811349;HPRD:10225955;HPRD:10617658;LRdb:10225955;LRdb:11;Lit-BM-17:10225955;Lit-BM-17:15811349;SPIKE_LC:10225955;connectomeDB2020:10225955;connectomeDB2020:10617658
8113,AFDN,NECTIN2,Cellinker:10225955;Cellinker:10733589;Cellinker:11544254;DOMINO:10225955;DOMINO:15811349;HPRD:10225955;HPRD:10733589;LRdb:1;LRdb:10733589;Lit-BM-17:10225955;Lit-BM-17:10617658;Lit-BM-17:15811349;Lit-BM-17:23750010;SPIKE_LC:10225955;connectomeDB2020:10225955
8175,PDGFB,PDGFRB,Baccin2019:285049611903042;CellChatDB:15207812;CellTalkDB:2850496;Cellinker:15207812;Cellinker:28267575;DIP:11297552;DIP:20534510;HPMR:2850496;HPRD:11903042;ICELLNET:15207811;ICELLNET:9739761;IntAct:10806482;IntAct:11297552;IntAct:17981115;IntAct:20534510;IntAct:7679113;LRdb:119;LRdb:2850496;Lit-BM-17:10806482;Lit-BM-17:11297552;Lit-BM-17:17981115;Lit-BM-17:20577048;Lit-BM-17:7679113;ProtMapper:30150707;SIGNOR:11331882;SPIKE_LC:16189514;connectomeDB2020:11903042;connectomeDB2020:2850496
8177,WNT7A,FZD3,SIGNOR:15578921
8178,NTF4,NTRK2,AlzPathway:9775403;Baccin2019:767991211855816;CellChatDB:27908981;CellTalkDB:7679912;Cellinker:11855816;Cellinker:27908981;Cellinker:7679912;HPRD:11855816;LRdb:119;LRdb:7679912;Lit-BM-17:11738045;Lit-BM-17:11855816;Lit-BM-17:25241761;SIGNOR:7679912;connectomeDB2020:11855816;connectomeDB2020:7679912
8181,EFNA3,EPHA2,Baccin2019:933086312907451;CellChatDB:15114347;Cellinker:12907451;Cellinker:15114347;Cellinker:9330863;HPRD:12907451;ICELLNET:15114347;ICELLNET:24003208;LRdb:11114742;SIGNOR:9330863;connectomeDB2020:12907451;connectomeDB2020:9330863
8238,SEMA3C,NRP2,Baccin2019:10196546;Baccin2019:9331348;CellTalkDB:10196546;HPMR:10196546;HPRD:9331348;ICELLNET:29067024;LRdb:10196546;LRdb:93;SIGNOR:16816121;connectomeDB2020:10196546;connectomeDB2020:9331348
8248,WNT10B,FZD2,SIGNOR:12055200
8266,WNT7B,FZD3,SIGNOR:15578921
8268,WNT10A,LRP5,SIGNOR:15578921
8292,WNT3A,FZD8,CellTalkDB:22303445;LRdb:22303445;NetPath:20093360;Ramilowski2015:22303445;SIGNOR:22653731;connectomeDB2020:22303445;talklr:22303445
8310,IGF2,INSR,Baccin2019:9281335;Baccin2019:9722981;CellTalkDB:9281335;Cellinker:9281335;Cellinker:9722981;HPRD:9722981;LRdb:9281335;LRdb:972;SIGNOR:9281335;connectomeDB2020:9281335;connectomeDB2020:9722981
8311,IL4,IL13RA1,CellTalkDB:18480254;IntAct:18243101;LRdb:10641437;LRdb:18480254;Lit-BM-17:18243101;Ramilowski2015:10641437;SIGNOR:12704343;connectomeDB2020:10641437;talklr:10641437
8364,ARTN,GFRA3,Baccin2019:98837239883723;CellTalkDB:9883723;Cellinker:11544105;Cellinker:9883723;DIP:16765900;HPMR:9883723;HPRD:9883723;IntAct:16765900;LRdb:9883723;Lit-BM-17:16765900;Lit-BM-17:9883723;SIGNOR:9883723;connectomeDB2020:9883723
8423,IL34,CSF1R,Baccin2019:30205037;CellTalkDB:22729249;Cellinker:31616414;DIP:22483114;DIP:23478061;ICELLNET:26095744;IntAct:22483114;IntAct:23478061;LRdb:22729249;ProtMapper:29796177;Ramilowski2015:22729249;SIGNOR:24890514;connectomeDB2020:22729249;scConnect:18467591;talklr:22729249
8492,WNT1,FZD6,SIGNOR:22944199
8519,CXCL1,PLCE1,SIGNOR:17251915
8535,MIF,CD74,HPRD:12782713;ICELLNET:12782713;SIGNOR:12782713;connectomeDB2020:12782713;connectomeDB2020:26039541
8546,PECAM1,CD38,Baccin2019:23308177;Cellinker:9551996;HPRD:9551996;LRdb:9551996;SIGNOR:18626062;connectomeDB2020:26407101;connectomeDB2020:9551996
8603,NXPH1,NRXN1,Baccin2019:8699246;Baccin2019:9856994;Cellinker:8699246;Cellinker:9856994;HPMR:9856994;HPRD:8699246;HPRD:9856994;LRdb:8699246;LRdb:9856994;SIGNOR:9856994;connectomeDB2020:8699246;connectomeDB2020:9856994
8652,TSHB,TSHR,Baccin2019:15571461;Baccin2019:2558651;CellTalkDB:15571461;Cellinker:15571461;Cellinker:2558651;HPMR:15571461;HPRD:2558651;LRdb:15571461;LRdb:26;NetPath:20181794;SIGNOR:12045258;connectomeDB2020:15571461;connectomeDB2020:2558651
8702,GHR,MAP2K5,SIGNOR:23612709
8707,CTSG,F2RL1,HPRD:10978167;SIGNOR:10978167
8727,FYN,GRIN2B,HPRD-phos:11024032;HPRD-phos:11483655;HPRD:10458595;HPRD:11024032;HPRD:11483655;KEA:11024032;KEA:11483655;KEA:12451687;ProtMapper:11024032;ProtMapper:11483655;ProtMapper:16190898;ProtMapper:18673451;ProtMapper:18932218;ProtMapper:19477150;ProtMapper:19482714;ProtMapper:19874789;ProtMapper:20053906;ProtMapper:20722721;ProtMapper:21686074;ProtMapper:21896318;ProtMapper:22009355;ProtMapper:23127881;ProtMapper:23162743;ProtMapper:24611998;ProtMapper:26229100;ProtMapper:28497343;SIGNOR:11024032;SIGNOR:11483655;SPIKE_LC:16713569;iPTMnet:11024032;iPTMnet:11483655;iPTMnet:16190898;iPTMnet:18691323
8743,FGF12,SCN3A,SIGNOR:20679355
8752,FYN,SLAMF1,HPRD-phos:11806999;HPRD:11806999;HPRD:12458214;KEA:11806999;KEA:15315965;ProtMapper:11806999;SIGNOR:11806999;SPIKE_LC:16713569;iPTMnet:11806999;phosphoELM:11806999
8766,IL15RA,JAK3,SIGNOR:30029643
8779,WNT7A,FZD7,NetPath:19497282;SIGNOR:22944199;SIGNOR:23290138
8781,LRFN5,PTPRS,SIGNOR:27225731
8783,EDN1,EDNRB,Baccin2019:12972292;CellTalkDB:12972292;Cellinker:12972292;HPRD:12972292;ICELLNET:15629009;ICELLNET:8440682;LRdb:12972292;SIGNOR:16597412;SPIKE_LC:16713569;connectomeDB2020:12972292
8809,PTPN6,INSR,Adhesome:12468540;Adhesome:7512963;Adhesome:8114715;Adhesome:8692915;HPRD:12468540;HPRD:7512963;HPRD:8114715;HPRD:8692915;ProtMapper:10734133;SIGNOR:10734133
8816,PTPN6,SRC,Adhesome:9261115;BioGRID:14699166;DEPOD:9261115;HPRD-phos:12468645;HPRD-phos:8647855;HPRD-phos:9261115;HPRD:12468645;HPRD:8647855;HPRD:9261115;InnateDB:9261115;ProtMapper:17974954;ProtMapper:9261115;SIGNOR:17974954;SIGNOR:9261115
8874,WNT8B,LRP6,SIGNOR:15578921
8910,TNFSF13,TNFRSF13B,Baccin2019:1095664610956640;CellTalkDB:10956646;Cellinker:10956646;HPMR:10956646;HPRD:10956646;ICELLNET:11239407;LRdb:10956646;SIGNOR:10956646;SPIKE_LC:10956646;SPIKE_LC:17145710;connectomeDB2020:10956646
8913,FYN,FCGR2A,HPRD-phos:8756631;HPRD:8756631;KEA:8756631;ProtMapper:8756631;SIGNOR:8756631;iPTMnet:8756631;phosphoELM:8756631
8960,PRSS2,F2RL1,SIGNOR:10978167
8984,TNF,PIK3CG,SIGNOR:10485710
8999,PTPN11,PTK2,Adhesome:10082579;Adhesome:10655584;Adhesome:19698715;Adhesome:21726809;Adhesome:7589239;Adhesome:8986614;HPRD:10082579;HPRD:10655584;HPRD:7589239;HPRD:8986614;KEA:14572662;KEA:15561106;KEA:15598735;ProtMapper:16920701;ProtMapper:23335101;SIGNOR:16920701;SPIKE_LC:16189514
9004,NOG,BMPR2,SIGNOR:12478285;SIGNOR:22298955
